5 anys més plujosos:
2092, 16.26
2022, 15.84
2027, 15.26
2006, 14.61
2056, 13.92
5 anys menys plujosos:
2096, 5.58
2010, 5.04
2097, 4.99
2079, 4.92
2076, 4.86
5 anys amb més variació interanual:
2091-2092, 117.05%
2079-2080, 111.25%
2082-2083, 102.93%
2076-2077, 92.28%
2055-2056, 81.31%
5 anys amb menys variació interanual:
2075-2076, -46.56%
2027-2028, -48.10%
2081-2082, -50.41%
2078-2079, -57.28%
2022-2023, -60.46%
