5 anys més plujosos:
2092, 10.76
2016, 9.40
2022, 9.40
2006, 9.30
2083, 9.26
5 anys menys plujosos:
2079, 4.68
2096, 4.48
2052, 4.33
2097, 4.20
2082, 4.07
5 anys amb més variació interanual:
2082-2083, 127.46%
2091-2092, 85.13%
2055-2056, 60.09%
2079-2080, 58.51%
2098-2099, 55.37%
5 anys amb menys variació interanual:
2095-2096, -38.71%
2051-2052, -40.62%
2092-2093, -43.23%
2022-2023, -46.15%
2081-2082, -51.27%
