precip	MIROC5	RCP60	REGRESION	decimas	1
P10603	40.735	-4.152	182	geo	2006	2100	-1
P10603 2009 3 86 82 75 38 29 0 21 57 65 0 0 0 0 27 45 0 83 60 41 29 8 9 28 32 36 77 62 97 86 71 0
P10603 2009 4 29 0 33 24 38 54 0 25 0 0 20 33 39 34 0 21 12 12 15 25 0 17 0 11 10 0 0 0 30 0 -999
P10603 2009 5 0 40 38 0 0 37 0 16 26 0 36 0 0 0 0 0 6 12 24 28 0 31 28 0 0 0 0 0 13 0 0
P10603 2009 6 0 0 0 0 20 22 0 10 12 0 0 0 0 16 0 0 0 0 7 0 0 0 0 0 0 0 0 6 0 0 -999
P10603 2009 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0
P10603 2009 8 0 0 0 0 9 0 15 0 0 0 0 0 0 0 2 0 3 0 0 0 0 14 0 0 0 0 0 15 0 26 21
P10603 2009 9 28 0 0 0 0 0 6 0 0 0 33 0 14 0 3 0 16 0 11 0 0 24 23 21 0 0 0 0 0 0 -999
P10603 2009 10 0 0 0 5 6 0 0 0 0 0 0 23 21 20 20 0 29 27 0 20 0 0 20 43 0 0 0 0 7 0 11
P10603 2009 11 0 5 7 0 0 7 13 14 0 0 0 0 6 6 0 15 0 11 0 23 13 0 38 32 0 0 22 0 21 29 -999
P10603 2009 12 29 33 49 25 57 63 79 43 35 69 48 0 25 15 12 0 0 32 38 26 19 18 20 22 0 32 47 44 0 11 14
P10603 2010 1 20 0 33 81 79 0 18 15 22 20 0 13 22 13 17 0 21 14 0 0 15 4 6 5 11 0 0 0 0 0 0
P10603 2010 2 0 0 10 0 26 39 23 14 13 6 0 0 0 0 5 6 5 6 10 13 9 15 0 21 0 0 0 0 -999 -999 -999
P10603 2010 3 9 0 0 0 0 30 0 38 67 53 33 0 0 12 14 13 17 33 67 0 0 6 0 0 3 5 0 8 0 0 11
P10603 2010 4 0 0 32 0 0 0 25 43 45 0 0 32 30 0 0 60 0 0 11 24 31 0 15 26 0 18 0 0 41 36 -999
P10603 2010 5 0 0 0 37 0 17 0 9 0 0 0 0 16 0 0 35 24 24 0 0 10 0 0 0 0 0 43 23 22 0 0
P10603 2010 6 17 0 26 0 14 0 0 9 3 0 9 17 25 0 0 28 0 0 0 0 0 11 7 8 0 0 0 0 0 0 -999
P10603 2010 7 21 0 10 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 8 11 0
P10603 2010 8 0 0 0 0 10 0 0 0 0 0 0 14 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0
P10603 2010 9 0 0 27 18 0 8 0 0 0 0 0 25 0 0 29 11 0 0 0 0 0 0 10 0 19 0 0 0 0 0 -999
P10603 2010 10 0 3 0 0 0 0 12 13 0 34 48 34 50 39 0 0 15 0 25 16 24 30 0 0 16 10 0 8 20 17 0
P10603 2010 11 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 13 18 12 13 0 0 0 0 6 8 0 0 0 3 0 -999
P10603 2010 12 9 10 0 19 20 0 23 15 19 0 11 0 0 37 0 7 8 10 13 8 0 0 2 0 0 0 0 14 0 0 0
P10603 2011 1 0 0 10 11 17 0 0 4 6 0 9 10 0 0 21 10 0 2 2 0 20 39 80 34 28 11 0 8 0 5 8
P10603 2011 2 0 9 0 0 0 0 22 11 0 1 0 21 20 0 21 17 10 14 15 15 16 28 23 11 0 0 24 52 -999 -999 -999
P10603 2011 3 56 0 0 0 0 15 13 10 16 0 31 40 30 28 49 101 114 63 41 46 45 59 84 156 72 0 0 73 20 9 0
P10603 2011 4 22 32 25 20 0 15 16 0 0 25 24 26 0 0 0 18 0 0 33 32 30 0 8 0 0 4 0 0 0 6 -999
P10603 2011 5 11 0 17 11 0 0 0 0 26 0 14 0 16 15 0 0 0 7 0 20 32 0 0 14 0 20 0 0 0 0 19
P10603 2011 6 0 15 10 0 0 8 0 0 0 17 0 0 0 0 0 0 0 0 5 4 0 19 0 0 0 0 0 16 0 0 -999
P10603 2011 7 10 9 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 9 0 0 14 0 0
P10603 2011 8 0 0 0 0 0 0 0 0 0 0 0 13 0 0 9 0 0 9 0 11 0 0 4 0 0 0 0 0 0 17 0
P10603 2011 9 0 6 8 13 0 0 0 17 32 47 0 5 0 0 0 0 0 0 0 0 0 0 8 9 9 8 7 8 9 16 -999
P10603 2011 10 14 0 0 0 7 0 0 8 0 14 13 17 0 16 0 0 7 0 7 0 17 24 26 0 18 0 0 14 26 38 0
P10603 2011 11 14 12 20 38 71 83 59 0 9 0 0 12 16 8 0 15 48 35 13 0 14 76 65 59 20 14 14 21 0 5 -999
P10603 2011 12 0 0 0 0 10 12 8 6 0 0 15 24 20 11 17 52 64 66 66 63 84 0 43 23 27 42 36 0 27 31 50
P10603 2012 1 70 33 10 4 0 0 0 0 0 0 5 0 0 0 0 0 0 11 9 0 12 0 0 0 0 6 9 14 19 24 0
P10603 2012 2 13 0 0 34 16 0 12 0 0 0 4 0 0 0 0 0 0 13 38 37 30 0 12 0 21 8 0 0 -999 -999 -999
P10603 2012 3 58 81 56 36 0 0 15 7 0 0 0 0 0 0 0 30 32 25 27 46 43 21 18 23 22 0 4 11 0 0 6
P10603 2012 4 6 11 0 0 0 18 0 0 19 10 0 16 0 95 71 0 40 31 24 24 17 0 0 48 71 58 0 54 49 50 -999
